Id_registro,Fecha,Proyecto,Area,Actividad,Manejo,Clase,Especie,Nombre_comun,Abundancia,Estado,Reubicado
1,2026-03-01,Proyecto Solar Alpha,Área 3,Inspección,rescate,Mammalia,Dasypus novemcinctus,Armadillo,1,vivo,si
2,2026-03-01,Proyecto Solar Alpha,Área 2,Tránsito maquinaria,ahuyentamiento,Reptilia,Anolis auratus,Camaleoncito,4,vivo,
3,2026-03-01,Proyecto Solar Alpha,Área 1,Inspección,ahuyentamiento,Aves,Milvago chimachima,Caracara,2,vivo,
4,2026-03-01,Proyecto Solar Alpha,Área 3,Obra civil,ahuyentamiento,Aves,Synallaxis candei,Rastrojero,4,vivo,
5,2026-03-02,Proyecto Solar Alpha,Área 3,Inspección,rescate,Reptilia,Erythrolamprus melanotus,Guardacaminos,2,vivo,si
6,2026-03-02,Proyecto Solar Alpha,Área 1,Inspección,ahuyentamiento,Aves,Turdus grayi,Mirla,2,vivo,
7,2026-03-02,Proyecto Solar Alpha,Área 1,Obra civil,ahuyentamiento,Aves,Synallaxis candei,Rastrojero,3,vivo,
8,2026-03-02,Proyecto Solar Alpha,Área 3,Inspección,rescate,Reptilia,Trachemys callirostris,Hicotea,2,vivo,si
9,2026-03-03,Proyecto Solar Alpha,Área 2,Rocería,rescate,Reptilia,Trachemys callirostris,Hicotea,1,vivo,si
10,2026-03-03,Proyecto Solar Alpha,Área 2,Inspección,rescate,Reptilia,Helicops danieli,Mapaná de agua,2,vivo,si
11,2026-03-03,Proyecto Solar Alpha,Área 4,Obra civil,ahuyentamiento,Aves,Synallaxis candei,Rastrojero,2,vivo,
12,2026-03-03,Proyecto Solar Alpha,Área 1,Obra civil,ahuyentamiento,Aves,Milvago chimachima,Caracara,2,vivo,
13,2026-03-04,Proyecto Solar Alpha,Área 3,Rocería,rescate,Reptilia,Boa constrictor,Boa,1,vivo,si
14,2026-03-04,Proyecto Solar Alpha,Área 2,Rocería,ahuyentamiento,Aves,Columbina talpacoti,Torcaza,2,vivo,
15,2026-03-04,Proyecto Solar Alpha,Área 1,Obra civil,rescate,Reptilia,Boa constrictor,Boa,2,vivo,si
16,2026-03-04,Proyecto Solar Alpha,Área 1,Tránsito maquinaria,rescate,Amphibia,Scinax ruber,Ranita,2,vivo,si
17,2026-03-05,Proyecto Solar Alpha,Área 3,Rocería,rescate,Mammalia,Dasypus novemcinctus,Armadillo,1,vivo,si
18,2026-03-05,Proyecto Solar Alpha,Área 4,Tránsito maquinaria,rescate,Reptilia,Helicops danieli,Mapaná de agua,2,vivo,si
19,2026-03-05,Proyecto Solar Alpha,Área 1,Rocería,rescate,Amphibia,Scinax ruber,Ranita,2,vivo,si
20,2026-03-05,Proyecto Solar Alpha,Área 4,Tránsito maquinaria,ahuyentamiento,Reptilia,Anolis auratus,Camaleoncito,8,vivo,
21,2026-03-06,Proyecto Solar Alpha,Área 2,Obra civil,ahuyentamiento,Aves,Coragyps atratus,Chulo,3,vivo,
22,2026-03-06,Proyecto Solar Alpha,Área 1,Inspección,ahuyentamiento,Aves,Synallaxis candei,Rastrojero,3,vivo,
23,2026-03-06,Proyecto Solar Alpha,Área 3,Rocería,ahuyentamiento,Aves,Coragyps atratus,Chulo,2,vivo,
24,2026-03-06,Proyecto Solar Alpha,Área 3,Obra civil,ahuyentamiento,Aves,Coragyps atratus,Chulo,2,vivo,
25,2026-03-07,Proyecto Solar Alpha,Área 4,Inspección,ahuyentamiento,Reptilia,Iguana iguana,Iguana,2,vivo,
26,2026-03-07,Proyecto Solar Alpha,Área 1,Obra civil,rescate,Mammalia,Myrmecophaga tridactyla,Oso hormiguero,1,vivo,si
27,2026-03-07,Proyecto Solar Alpha,Área 4,Rocería,rescate,Mammalia,Dasypus novemcinctus,Armadillo,1,vivo,si
28,2026-03-07,Proyecto Solar Alpha,Área 4,Inspección,ahuyentamiento,Aves,Columbina talpacoti,Torcaza,2,vivo,
