Id_registro,Fecha,Proyecto,Area,Actividad,Manejo,Clase,Especie,Nombre_comun,Abundancia,Estado,Reubicado,Orden,Familia,CITES,IUCN,Distribucion
1,2026-03-01,Proyecto Solar Alpha,Área 3,Inspección,Rescate,Mammalia,Dasypus novemcinctus,Armadillo,1,vivo,si,Cingulata,DASYPODIDAE,,Preocupación Menor (LC),Restringida
2,2026-03-01,Proyecto Solar Alpha,Área 2,Tránsito maquinaria,Ahuyentamiento,Reptilia,Anolis auratus,Camaleoncito,4,vivo,,Squamata,ANOLIDAE,,Preocupación Menor (LC),Restringida
3,2026-03-01,Proyecto Solar Alpha,Área 1,Inspección,Ahuyentamiento,Aves,Milvago chimachima,Caracara,2,vivo,,Falconiformes,FALCONIDAE,Apéndice II,Preocupación Menor (LC),Restringida
4,2026-03-01,Proyecto Solar Alpha,Área 3,Obra civil,Ahuyentamiento,Aves,Synallaxis candei,Rastrojero,4,vivo,,Passeriformes,FURNARIIDAE,,Preocupación Menor (LC),Casi endémica
5,2026-03-02,Proyecto Solar Alpha,Área 3,Inspección,Rescate,Reptilia,Erythrolamprus melanotus,Guardacaminos,2,vivo,si,Squamata,COLUBRIDAE,,Preocupación Menor (LC),Restringida
6,2026-03-02,Proyecto Solar Alpha,Área 1,Inspección,Ahuyentamiento,Aves,Turdus grayi,Mirla,2,vivo,,Passeriformes,TURDIDAE,,Preocupación Menor (LC),Restringida
7,2026-03-02,Proyecto Solar Alpha,Área 1,Obra civil,Ahuyentamiento,Aves,Synallaxis candei,Rastrojero,3,vivo,,Passeriformes,FURNARIIDAE,,Preocupación Menor (LC),Casi endémica
8,2026-03-02,Proyecto Solar Alpha,Área 3,Inspección,Rescate,Reptilia,Trachemys callirostris,Hicotea,2,vivo,si,Testudines,EMYDIDAE,,No Evaluado (NE),Restringida
9,2026-03-03,Proyecto Solar Alpha,Área 2,Rocería,Rescate,Reptilia,Trachemys callirostris,Hicotea,1,vivo,si,Testudines,EMYDIDAE,,No Evaluado (NE),Restringida
10,2026-03-03,Proyecto Solar Alpha,Área 2,Inspección,Rescate,Reptilia,Helicops danieli,Mapaná de agua,2,vivo,si,Squamata,COLUBRIDAE,,Preocupación Menor (LC),Endémica
11,2026-03-03,Proyecto Solar Alpha,Área 4,Obra civil,Ahuyentamiento,Aves,Synallaxis candei,Rastrojero,2,vivo,,Passeriformes,FURNARIIDAE,,Preocupación Menor (LC),Casi endémica
12,2026-03-03,Proyecto Solar Alpha,Área 1,Obra civil,Ahuyentamiento,Aves,Milvago chimachima,Caracara,2,vivo,,Falconiformes,FALCONIDAE,Apéndice II,Preocupación Menor (LC),Restringida
13,2026-03-04,Proyecto Solar Alpha,Área 3,Rocería,Rescate,Reptilia,Boa constrictor,Boa,1,vivo,si,Squamata,BOIDAE,Apéndice II,Preocupación Menor (LC),Restringida
14,2026-03-04,Proyecto Solar Alpha,Área 2,Rocería,Ahuyentamiento,Aves,Columbina talpacoti,Torcaza,2,vivo,,Columbiformes,COLUMBIDAE,,Preocupación Menor (LC),Restringida
15,2026-03-04,Proyecto Solar Alpha,Área 1,Obra civil,Rescate,Reptilia,Boa constrictor,Boa,2,vivo,si,Squamata,BOIDAE,Apéndice II,Preocupación Menor (LC),Restringida
16,2026-03-04,Proyecto Solar Alpha,Área 1,Tránsito maquinaria,Rescate,Amphibia,Scinax ruber,Ranita,2,vivo,si,Anura,HYLIDAE,,Preocupación Menor (LC),Restringida
17,2026-03-05,Proyecto Solar Alpha,Área 3,Rocería,Rescate,Mammalia,Dasypus novemcinctus,Armadillo,1,vivo,si,Cingulata,DASYPODIDAE,,Preocupación Menor (LC),Restringida
18,2026-03-05,Proyecto Solar Alpha,Área 4,Tránsito maquinaria,Rescate,Reptilia,Helicops danieli,Mapaná de agua,2,vivo,si,Squamata,COLUBRIDAE,,Preocupación Menor (LC),Endémica
19,2026-03-05,Proyecto Solar Alpha,Área 1,Rocería,Rescate,Amphibia,Scinax ruber,Ranita,2,vivo,si,Anura,HYLIDAE,,Preocupación Menor (LC),Restringida
20,2026-03-05,Proyecto Solar Alpha,Área 4,Tránsito maquinaria,Ahuyentamiento,Reptilia,Anolis auratus,Camaleoncito,8,vivo,,Squamata,ANOLIDAE,,Preocupación Menor (LC),Restringida
21,2026-03-06,Proyecto Solar Alpha,Área 2,Obra civil,Ahuyentamiento,Aves,Coragyps atratus,Chulo,3,vivo,,Cathartiformes,CATHARTIDAE,,Preocupación Menor (LC),Restringida
22,2026-03-06,Proyecto Solar Alpha,Área 1,Inspección,Ahuyentamiento,Aves,Synallaxis candei,Rastrojero,3,vivo,,Passeriformes,FURNARIIDAE,,Preocupación Menor (LC),Casi endémica
23,2026-03-06,Proyecto Solar Alpha,Área 3,Rocería,Ahuyentamiento,Aves,Coragyps atratus,Chulo,2,vivo,,Cathartiformes,CATHARTIDAE,,Preocupación Menor (LC),Restringida
24,2026-03-06,Proyecto Solar Alpha,Área 3,Obra civil,Ahuyentamiento,Aves,Coragyps atratus,Chulo,2,vivo,,Cathartiformes,CATHARTIDAE,,Preocupación Menor (LC),Restringida
25,2026-03-07,Proyecto Solar Alpha,Área 4,Inspección,Ahuyentamiento,Reptilia,Iguana iguana,Iguana,2,vivo,,Squamata,IGUANIDAE,Apéndice II,Preocupación Menor (LC),Restringida
26,2026-03-07,Proyecto Solar Alpha,Área 1,Obra civil,Rescate,Mammalia,Myrmecophaga tridactyla,Oso hormiguero,1,vivo,si,Pilosa,MYRMECOPHAGIDAE,Apéndice II,Vulnerable (VU),Restringida
